File,l_bankssts,l_caudalanteriorcingulate,l_caudalmiddlefrontal,l_cuneus,l_entorhinal,l_fusiform,l_inferiorparietal,l_inferiortemporal,l_isthmuscingulate,l_lateraloccipital,l_lateralorbitofrontal,l_lingual,l_medialorbitofrontal,l_middletemporal,l_parahippocampal,l_paracentral,l_parsopercularis,l_parsorbitalis,l_parstriangularis,l_pericalcarine,l_postcentral,l_posteriorcingulate,l_precentral,l_precuneus,l_rostralanteriorcingulate,l_rostralmiddlefrontal,l_superiorfrontal,l_superiorparietal,l_superiortemporal,l_supramarginal,l_frontalpole,l_temporalpole,l_transversetemporal,l_insula,l_thalamusproper,l_caudate,l_putamen,l_pallidum,l_accumbensarea,l_hippocampus,l_amygdala,r_bankssts,r_caudalanteriorcingulate,r_caudalmiddlefrontal,r_cuneus,r_entorhinal,r_fusiform,r_inferiorparietal,r_inferiortemporal,r_isthmuscingulate,r_lateraloccipital,r_lateralorbitofrontal,r_lingual,r_medialorbitofrontal,r_middletemporal,r_parahippocampal,r_paracentral,r_parsopercularis,r_parsorbitalis,r_parstriangularis,r_pericalcarine,r_postcentral,r_posteriorcingulate,r_precentral,r_precuneus,r_rostralanteriorcingulate,r_rostralmiddlefrontal,r_superiorfrontal,r_superiorparietal,r_superiortemporal,r_supramarginal,r_frontalpole,r_temporalpole,r_transversetemporal,r_insula,r_thalamusproper,r_caudate,r_putamen,r_pallidum,r_accumbensarea,r_hippocampus,r_amygdala,brainstem
5HT1a_WAY_HC36.nii,34.775287,29.236925,24.996934,21.816322,59.856735,41.802234,26.106662,38.849021,25.095154,17.976313,29.544376,22.738505,35.471708,32.922112,54.341512,20.079973,32.456366,20.827126,26.245425,12.363862,23.887829,29.23241,23.145663,25.360189,32.923877,31.316393,27.91086,21.755923,36.640785,28.201141,32.914099,38.994744,36.111089,45.857379,2.86219,1.400368,14.157018,3.066369,22.167119,47.080027,41.972561,36.75157,29.76497,25.519863,22.835485,51.237526,40.491646,25.79897,38.891743,27.940068,17.858246,30.165419,21.753265,37.652657,35.674461,43.020947,23.034784,33.110669,24.113487,27.133224,14.775398,23.441029,31.993345,22.984238,27.792337,35.257176,31.670577,28.754978,21.182949,37.292668,28.712967,33.345763,37.807677,32.720044,42.053489,3.418308,1.553075,7.505674,1.759735,18.597869,48.810078,42.102885,4.999534
5HT1a_cumi_hc8_beliveau.nii,10.578098,12.632811,7.479311,5.279023,29.438091,16.126736,7.437626,15.544794,10.151056,6.978947,11.478527,7.814675,13.541034,13.898011,16.572894,7.410753,11.70837,10.262915,8.317036,3.407417,7.145842,10.429411,8.234386,8.161729,11.075074,7.973975,10.119602,5.660722,13.493181,9.152627,14.253659,27.044492,13.285275,14.244607,3.078786,0.424302,8.40017,1.136617,15.860234,30.008894,19.153606,8.102565,11.909462,8.162342,6.328879,25.91413,13.747271,7.522599,13.984074,7.586529,6.647624,13.965504,7.535313,14.14796,15.16538,8.13999,8.789178,10.692546,12.525987,10.25625,3.683811,7.569469,10.431075,8.580584,8.8345,9.106157,10.148486,10.164834,5.089154,14.845213,10.148549,12.383531,27.213317,11.342899,18.595309,3.791306,0.603236,3.885558,0.271286,9.084837,32.326633,19.132296,2.115154
5HT1b_P943_HC22.nii,40.383136,37.444027,41.785738,39.960164,10.081542,24.340287,39.955193,27.123451,29.717986,37.89482,29.408316,43.461939,33.644784,29.432861,8.66217,24.775924,46.001714,26.753529,39.427643,43.082758,35.621078,35.200507,38.47208,31.333974,27.033873,49.130299,40.678979,32.966348,27.167959,39.207919,46.010926,6.477159,47.417403,33.84762,12.59176,23.538343,32.8185,33.356731,36.884009,9.738396,13.231169,39.287363,37.576837,39.233813,39.207599,7.167906,22.352318,35.664774,22.263939,31.389387,35.83025,26.573061,38.732879,32.696518,26.672394,7.111789,28.022839,44.236706,31.166875,39.921216,61.556604,31.602934,38.456788,36.098949,33.26607,30.186711,46.326938,40.065496,30.398368,25.245612,34.482104,41.515186,5.221755,40.402084,26.783377,12.95637,22.343846,32.648906,26.600388,35.522713,8.370713,11.63562,11.030003
5HT1b_az_hc36_beliveau.nii,15.85328,20.458685,17.880272,19.706875,17.25527,17.761644,14.023792,17.968822,19.170505,18.538441,19.675884,24.69302,19.443841,16.630176,9.943,16.716782,23.070317,20.993071,17.713799,26.737843,13.822543,18.197053,18.626723,16.755777,14.936774,16.04988,21.340759,12.642772,15.309989,15.426337,23.823054,16.931183,26.366056,16.414467,13.852745,16.272675,31.435559,51.497946,25.799384,10.155092,16.411545,12.520122,19.629199,18.610558,24.587657,14.297648,15.858466,15.641188,16.594024,14.643545,17.543797,23.221024,25.776675,19.745013,18.725154,6.044442,19.875132,20.947472,26.718326,21.735565,33.048137,14.260752,17.986168,19.405019,19.145112,12.93724,20.456043,21.557026,12.058698,17.781394,17.347033,20.675756,18.662469,22.961291,19.992606,12.49454,13.383158,31.615059,50.361544,21.645874,8.730283,14.143976,6.112047
5HT2a_ALT_HC19.nii,70.259355,47.293956,57.875334,62.521788,51.660207,65.686413,56.773548,60.808586,53.848396,46.347378,51.969207,63.829116,56.743111,54.108883,52.878477,35.233239,63.510895,46.71163,57.351102,55.72726,48.731449,53.087459,47.74929,56.511559,56.598163,67.333419,56.341239,49.078932,59.473232,58.15453,52.201458,47.243897,69.048044,61.503952,9.152968,10.3868,24.613775,8.49745,31.765786,20.993671,21.084536,74.736729,50.226956,56.47229,62.872107,43.173674,66.142177,57.43602,62.968666,60.505625,47.214327,50.227573,60.809062,57.837846,61.377693,44.50103,38.78433,62.39109,52.083152,57.753719,69.464483,49.878798,57.021612,46.119695,63.253544,56.762648,64.856648,56.443634,47.666424,61.613604,61.653586,51.493404,45.696326,61.456007,53.86693,8.724238,9.504846,15.707071,7.266337,23.668694,20.970532,21.563774,2.413993
5HT2a_cimbi_hc29_beliveau.nii,33.428709,33.716097,30.160357,31.097733,33.78254,41.221207,27.219285,43.010652,41.453884,32.931342,36.364766,39.659865,39.391659,38.739206,25.97268,23.870115,39.988452,36.978697,30.485064,32.651843,23.045087,36.077626,29.378047,33.187042,29.476248,28.593547,37.602846,22.656925,34.482734,30.748429,46.83216,38.224011,51.770194,28.402445,15.584171,5.242481,21.52853,11.319636,30.414852,22.524741,21.885562,26.114509,32.213265,32.009211,37.921677,28.982413,34.928311,28.602991,36.886382,30.448847,30.38035,44.094516,39.451664,40.411299,42.786049,13.55739,28.330133,36.071215,46.236784,36.367042,38.746281,23.231702,36.5196,30.368181,36.645665,21.505209,36.524708,37.179864,20.785583,39.578447,32.959694,41.607063,43.088326,44.993582,34.626758,14.536595,4.133158,13.610845,7.89847,15.89351,19.86655,16.758853,2.691177
5HT4_sb20_hc59_beliveau.nii,4.488396,4.577242,3.298091,3.165389,7.136693,5.367726,3.597116,5.769595,5.162599,3.553623,4.240282,3.978229,4.961778,5.259868,3.914464,2.861029,4.59141,4.298774,3.519206,2.573608,2.854448,4.492833,3.338625,4.167286,3.89816,3.401193,4.177952,2.867438,4.933064,4.154326,5.526132,6.5582,5.921726,4.127523,5.514178,18.950779,22.449168,21.661141,8.805534,6.859345,6.023992,3.425234,4.299616,3.384389,3.777045,6.089612,4.483045,3.734958,5.000405,3.811789,3.29364,4.993106,3.845165,5.148224,5.753622,2.232042,3.440212,4.068599,5.273259,4.189703,3.035649,2.947917,4.585315,3.381815,4.482996,3.012417,4.210857,4.149407,2.620847,5.537787,4.476163,4.744163,6.727478,4.935392,5.261152,5.015202,16.371436,24.894987,17.406684,7.722655,6.613148,5.506222,1.905762
CB1_FMPEPd2_hc22_laurikainen.nii,73.449192,59.50375,60.51162,55.29998,41.135938,54.195044,58.042973,55.958235,55.481247,46.267241,61.869843,49.363113,70.969139,53.554972,45.03674,57.041941,64.937879,52.507924,59.27303,40.663552,50.107704,63.618523,56.099866,64.076081,63.584196,60.577225,63.314662,51.537978,55.163313,58.337437,44.931633,40.598774,68.645949,64.113638,34.261655,47.426681,76.342901,65.913554,56.878719,38.997523,43.172002,68.0091,62.863399,70.790418,51.939085,37.37159,52.739991,57.789356,55.836398,60.98023,42.370871,61.767504,48.829924,70.600015,61.581772,44.465897,60.996333,71.284708,64.248414,69.325414,46.219443,61.042333,69.064034,63.890181,68.158207,69.066597,76.415249,66.466877,50.884621,61.834411,68.169944,40.375533,43.177191,60.492554,63.359381,33.342918,44.883113,73.695014,56.944084,55.731112,40.396399,42.48074,19.690728
CBF_ASL_MRI.nii,45.358309,56.791344,57.424161,46.355855,30.278634,29.014021,53.779737,38.804779,50.612522,46.169609,47.861046,37.961816,44.581526,43.857069,29.222954,40.728705,52.697539,47.194047,50.184757,34.200498,43.446454,58.027229,52.223579,46.404459,43.169357,52.820412,52.574281,44.313822,43.041556,48.837026,39.927879,33.226331,62.119861,49.540956,34.805355,37.443896,38.541116,21.839921,40.54429,33.214253,30.211479,50.511761,60.902753,64.856407,46.572353,34.415558,30.244004,53.645938,39.328395,60.60395,44.124757,45.569825,40.386078,46.816548,49.173218,30.515297,49.095572,58.60052,54.844263,57.172672,49.278415,48.066134,66.667853,56.298095,51.837603,49.970848,60.413088,56.718451,43.076067,49.009137,54.717144,39.601803,36.570077,66.789626,46.960996,36.402361,37.961335,39.141935,11.741836,39.130646,36.111398,32.188006,10.394345
D1_SCH23390_c11.nii,12.776332,18.110632,8.222498,14.786869,12.662821,14.910406,7.800256,11.244732,17.601355,5.345814,15.258836,17.146071,20.447276,10.160079,14.393072,8.701167,11.564786,9.298,10.442507,12.584367,6.08823,17.457359,6.6968,15.164983,19.652914,9.668314,9.917922,6.904878,10.977316,7.95525,8.150106,11.020855,17.337535,19.590771,12.645945,48.160012,57.550284,36.899432,36.811935,11.405158,15.764255,18.127041,18.338968,10.263298,13.109918,11.25393,15.606347,9.147766,13.078682,18.849855,5.115938,16.239892,14.65468,20.911225,14.773612,13.997222,10.186818,16.2523,12.643756,13.215561,15.311388,8.609821,20.175674,9.09704,15.975953,20.991209,12.71513,10.7037,6.553703,15.009227,12.376961,9.994062,12.439784,18.898059,21.587334,12.257692,45.893502,63.409905,29.086787,36.922729,10.850615,16.297353,2.036179
